CPE dependency name,CVE ID,Number of CVE ID occurrences,CVE severity,Number of Issues,Issues
xmlsoft:libxml2,"CVE-2003-1564, CVE-2019-19956",2,"high, medium",2,"https://api.github.com/repos/open-metadata/OpenMetadata/issues/2529, https://api.github.com/repos/tensorflow/tensorflow/issues/52914"
[],"CVE-2015-6396, CVE-2017-0143, CVE-2018-10822, CVE-2018-10823, CVE-2019-14322, CVE-2019-1652, CVE-2019-18197, CVE-2020-13844, CVE-2020-26141, CVE-2020-26145, CVE-2020-3702, CVE-2020-5991, CVE-2021-37712, CVE-2021-37713, CVE-2022-0319, CVE-2022-0543, CVE-2022-2309, CVE-2022-23960, CVE-2022-3734, CVE-2022-41722, CVE-2023-2422, CVE-2023-24816",22,"high, medium, critical",17,"https://api.github.com/repos/nmap/nmap/issues/1377, https://api.github.com/repos/nmap/nmap/issues/1459, https://api.github.com/repos/deepjavalibrary/djl/issues/1561, https://api.github.com/repos/microsoft/qlib/issues/1400, https://api.github.com/repos/tensorflow/tensorflow/issues/52914, https://api.github.com/repos/vespa-engine/vespa/issues/29198, https://api.github.com/repos/guess-js/guess/issues/515, https://api.github.com/repos/nmap/nmap/issues/2308, https://api.github.com/repos/triton-inference-server/server/issues/5383, https://api.github.com/repos/nmap/nmap/issues/1472, https://api.github.com/repos/deepchecks/deepchecks/issues/2715, https://api.github.com/repos/nmap/nmap/issues/1376, https://api.github.com/repos/RasaHQ/rasa/issues/9004, https://api.github.com/repos/argoproj/argo-workflows/issues/10811, https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448, https://api.github.com/repos/nmap/nmap/issues/1452, https://api.github.com/repos/LibrePhotos/librephotos/issues/681"
gnu:glibc,"CVE-2016-10228, CVE-2017-8804, CVE-2018-1000001, CVE-2018-6485, CVE-2018-6551, CVE-2019-25013, CVE-2019-9169, CVE-2020-27618, CVE-2020-29562, CVE-2020-6096, CVE-2021-27645, CVE-2021-3326, CVE-2021-35942, CVE-2021-3999, CVE-2022-23218, CVE-2022-23219",16,"high, medium, low, critical",3,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/kubeflow/pipelines/issues/1545, https://api.github.com/repos/mlrun/mlrun/issues/1997"
canonical:apparmor,CVE-2016-1585,1,critical,1,https://api.github.com/repos/triton-inference-server/server/issues/5383
squareup:okhttp3,CVE-2016-2402,1,medium,1,https://api.github.com/repos/h2oai/h2o-3/issues/6595
kernel:util-linux,CVE-2016-2779,1,high,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/3531, https://api.github.com/repos/kubeflow/pipelines/issues/1545"
apache:hadoop,"CVE-2016-3086, CVE-2017-15713, CVE-2017-15718, CVE-2018-8009, CVE-2021-37404",5,"high, critical, medium",2,"https://api.github.com/repos/h2oai/h2o-3/issues/6595, https://api.github.com/repos/4paradigm/OpenMLDB/issues/387"
c-ares_project:c-ares,CVE-2016-5180,1,critical,1,https://api.github.com/repos/ray-project/ray/issues/11765
openssl:openssl,"CVE-2016-6307, CVE-2016-6308, CVE-2016-7053, CVE-2016-7054, CVE-2016-8610, CVE-2017-3733, CVE-2017-3738, CVE-2018-0735, CVE-2019-1543, CVE-2019-1552, CVE-2021-3449, CVE-2021-3711, CVE-2021-3712, CVE-2021-4044, CVE-2021-4160, CVE-2022-0778, CVE-2022-1292, CVE-2022-2097, CVE-2022-3358, CVE-2022-3602, CVE-2022-3786, CVE-2022-4304, CVE-2022-4450, CVE-2023-0215, CVE-2023-0286, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2023-1255, CVE-2023-2650",30,"high, medium, low, critical",12,"https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031, https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/open-metadata/OpenMetadata/issues/3618, https://api.github.com/repos/triton-inference-server/server/issues/5383, https://api.github.com/repos/LibrePhotos/librephotos/issues/681, https://api.github.com/repos/mosaicml/composer/issues/2007, https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/nmap/nmap/issues/2581, https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448, https://api.github.com/repos/kubeflow/pipelines/issues/8039, https://api.github.com/repos/nmap/nmap/issues/2639"
zlib:zlib,"CVE-2016-9841, CVE-2016-9843, CVE-2018-25032, CVE-2022-37434",4,"high, critical",5,"https://api.github.com/repos/isl-org/Open3D/issues/5926, https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/argoproj/argo-workflows/issues/2363, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/kubeflow/pipelines/issues/8943"
